SMILES,Step,NumChild,NumOKChild,AcceptRatio,num_connect,num_vinyl,num_ethynyl
[H][H],0,3,2,0.6666666666666666,0,0,0
c1ccccc1,4,7,1,0.14285714285714285,1,3,0
C=Cc1ccccc1,5,30,3,0.1,1,4,0
C=CC(=C)c1ccccc1,6,39,3,0.07692307692307693,1,5,0
C=C1C=Cc2ccccc21,7,46,2,0.043478260869565216,2,5,0
C=CC=C1C=Cc2ccccc21,8,66,5,0.07575757575757576,2,6,0
C1=CC2=Cc3ccccc3C2=C1,9,55,2,0.03636363636363636,3,6,0
C=CC1=C2C(=Cc3ccccc32)C=C1,10,65,2,0.03076923076923077,3,7,0
C=CC1=CC2=Cc3ccccc3C2=C1C=C,11,77,1,0.012987012987012988,3,8,0
C1=C2C=c3ccccc3=C2c2ccccc21,12,71,0,0.0,4,8,0
