step,error
0,C (Mutation error)
0,No more individual to be mutated
0,No replacement occured
1,C (Mutation error)
1,No more individual to be mutated
1,No replacement occured
2,No more individual to be mutated
3,C (Mutation error)
3,No more individual to be mutated
4,C (Mutation error)
4,No more individual to be mutated
5,C#C (Mutation error)
5,C (Mutation error)
5,No more individual to be mutated
6,C=C (Mutation error)
6,CCCC (Mutation error)
6,C#C (Mutation error)
6,CC (Mutation error)
6,C (Mutation error)
6,No more individual to be mutated
7,C=C (Mutation error)
7,CC1=CC1 (Mutation error)
7,CCCC (Mutation error)
7,CCC (Mutation error)
7,CC (Mutation error)
7,No more individual to be mutated
8,C=CC (Mutation error)
8,C=C (Mutation error)
8,C=C=C (Mutation error)
8,CCCC (Mutation error)
8,CC (Mutation error)
8,CCC (Mutation error)
8,C#C (Mutation error)
8, (Mutation error)
8,C#CC (Mutation error)
8,CC(C)(C)C (Mutation error)
8,C (Mutation error)
8,No more individual to be mutated
9,C=CC (Mutation error)
9,C=C (Mutation error)
9,C=C=C (Mutation error)
9,CC=CCC (Mutation error)
9,CC (Mutation error)
9,CCC (Mutation error)
9,C#C (Mutation error)
9,C1=CC1 (Mutation error)
9,CC1C=CC1 (Mutation error)
9,CC(C)C (Mutation error)
9,CC1C=C1 (Mutation error)
9, (Mutation error)
9,C1=CCC1 (Mutation error)
9,C1=C2CC2C1 (Mutation error)
9,C (Mutation error)
9,No more individual to be mutated
10,C=C (Mutation error)
10,CC=CCC (Mutation error)
10,C=C(C)C (Mutation error)
10,CC (Mutation error)
10,CCC (Mutation error)
10,C#C (Mutation error)
11,C=CC1=CC1 (Mutation error)
11,C=C (Mutation error)
11,C=C=C (Mutation error)
11,C=C=CC (Mutation error)
12,C=CC (Mutation error)
12,C=CCC (Mutation error)
12,C=CC1=CC1 (Mutation error)
12,C=CCC(C)C (Mutation error)
12,C=CC1=C(C)CC1 (Mutation error)
12,C=C (Mutation error)
12,C=C=CC (Mutation error)
12,CC=CCC (Mutation error)
13,C=CC=CC (Mutation error)
13,C=CC (Mutation error)
13,C=CCC (Mutation error)
13,C=CC(C)C (Mutation error)
13,C=CCCC (Mutation error)
13,C=CC(C)CC (Mutation error)
13,C=CC1=CCC1 (Mutation error)
13,C=CCCCCC (Mutation error)
13,C=C (Mutation error)
13,C=C=C (Mutation error)
13,C=C=C=C (Mutation error)
13,C=C=C=CC (Mutation error)
14,C=CC=C (Mutation error)
14,C=CC (Mutation error)
14,C=CCC (Mutation error)
14,C#CC=C (Mutation error)
14,C=CC(C)C (Mutation error)
14,C=CC(C)CC (Mutation error)
14,C=CCC(C)(C)C (Mutation error)
14,C=CCCCCC (Mutation error)
14,C=CC1=C(C)CC1 (Mutation error)
15,C=CC (Mutation error)
15,C=CCC (Mutation error)
15,C#CC=C (Mutation error)
15,C=CC(C)C (Mutation error)
15,C=CC#CC (Mutation error)
15,C=CCCC (Mutation error)
15,C=CC1=CC1 (Mutation error)
15,C=CC1CC1 (Mutation error)
15,C=CCC(C)(C)C (Mutation error)
15,C=CC1=C(C)CC1 (Mutation error)
15,C=CCCCCC (Mutation error)
15,C=CC1=C2CCC12 (Mutation error)
16,C=CC=CC (Mutation error)
16,C=CC(=C)C (Mutation error)
16,C=CC (Mutation error)
16,C=CCC (Mutation error)
16,C#CC=C (Mutation error)
16,C=CC(C)C (Mutation error)
16,C=CC1=CC1 (Mutation error)
16,C=CCCC (Mutation error)
16,C=CC(C)CC (Mutation error)
17,C=CCC=C (Mutation error)
17,C=CC (Mutation error)
17,C=CCC (Mutation error)
17,C#CC=C (Mutation error)
17,C=CC1(C)CC1 (Mutation error)
17,C=CCC(C)C (Mutation error)
17,C=CC(C)CC (Mutation error)
18,C=CC(C)=CC (Mutation error)
18,C=CC (Mutation error)
18,C=CCC (Mutation error)
18,C=CC(C)C (Mutation error)
18,C=CC#CC (Mutation error)
18,C=CC1=CC1 (Mutation error)
19,C=CC=C (Mutation error)
19,C=CCC=CC (Mutation error)
19,C=CC (Mutation error)
19,C=CCC (Mutation error)
19,C#CC=C (Mutation error)
19,C=CC(C)C (Mutation error)
19,C=CC1CC1 (Mutation error)
19,C=CC1=CC1 (Mutation error)
19,C=CCCC (Mutation error)
19,C=C(C)C=CC (Mutation error)
20,C=CC=C (Mutation error)
20,C=CCCC=C (Mutation error)
20,C=CC(=C)CC (Mutation error)
