step,error
0,No more individual to be mutated
1,No more individual to be mutated
2, (Mutation error)
2,CC (Mutation error)
2,C (Mutation error)
2,No more individual to be mutated
3, (Mutation error)
3,C (Mutation error)
3,No more individual to be mutated
4, (Mutation error)
4,CC (Mutation error)
4,C (Mutation error)
4,No more individual to be mutated
5,CCC(C)C (Mutation error)
5,C=C (Mutation error)
5, (Mutation error)
5,CC (Mutation error)
5,C (Mutation error)
5,No more individual to be mutated
6,C1CC1 (Mutation error)
6,C=CCC (Mutation error)
6,CC (Mutation error)
6, (Mutation error)
6,CCCC (Mutation error)
6,CCC(C)CC (Mutation error)
6,CCCCC (Mutation error)
6,C=C (Mutation error)
6,C1CCC1 (Mutation error)
7,C1=CC1 (Mutation error)
7,C=C (Mutation error)
7,CCCCC (Mutation error)
7,CCC(C)CC (Mutation error)
7, (Mutation error)
8,C1=CC=1 (Mutation error)
8,C1=CC1 (Mutation error)
8,C1=C2CC12 (Mutation error)
8,CC1C=CC1 (Mutation error)
8,CCC1C=C1C (Mutation error)
8,CCC(C)C (Mutation error)
8,C1CCC1 (Mutation error)
8,C=CCC (Mutation error)
9,C1=CC=1 (Mutation error)
9,CC1=CC1C (Mutation error)
10,C1=CC2=C1CC2 (Mutation error)
10,C1=CC1 (Mutation error)
10,C1=C2CC12 (Mutation error)
10,C1C2=C1C2 (Mutation error)
10,CC1=CC1 (Mutation error)
10,CC1C2=CC21 (Mutation error)
10,C1=CCCC1 (Mutation error)
10,CC12C=C1CC2 (Mutation error)
10,CCCC1C=C1C (Mutation error)
11,CC12C=CC1=CC2 (Mutation error)
11,C1=CC1 (Mutation error)
11,C1=CC=1 (Mutation error)
11,CC1=CC1 (Mutation error)
11,C1C2=C1C2 (Mutation error)
11,C1=C2CC12 (Mutation error)
11,C1=CCC=1 (Mutation error)
11,CC1=C=C1 (Mutation error)
11,CC1C=CC1 (Mutation error)
12,C1=C2C=C12 (Mutation error)
12,C12=C3C1=C23 (Mutation error)
12,C1=CC1 (Mutation error)
12,CC1=C=C1 (Mutation error)
12,C12=C3C1C23 (Mutation error)
12,C1C2=C1C2 (Mutation error)
12,C1=C2CC12 (Mutation error)
12,C1=CCC=1 (Mutation error)
12,CC1=CC1 (Mutation error)
12,C1=CCC1 (Mutation error)
12,CC1=CC1C (Mutation error)
12,CC1=CCC1 (Mutation error)
12,CC1C=CC1 (Mutation error)
13,C1=C2C=C12 (Mutation error)
13,CC1=CC2=CC12 (Mutation error)
13,CC1=CC2=C(C)C12C (Mutation error)
13,C1=CC2=C1CC2 (Mutation error)
13,C1=CC1 (Mutation error)
13,C1=CC=1 (Mutation error)
13,CC1C=C1 (Mutation error)
13,C1=CCC1 (Mutation error)
13,CC1=CC1 (Mutation error)
13,C1=CCC=1 (Mutation error)
13,C1=C2CC12 (Mutation error)
14,C12=C3C1=C23 (Mutation error)
14,CC1=CC2=CC12 (Mutation error)
14,CC1CC2=C1C=C2 (Mutation error)
14,CC1=C2C=CC2C1 (Mutation error)
15,Cc1cc2ccc1-2 (Mutation error)
15,C12=C3C1=C23 (Mutation error)
15,C1CC2=C3C1=C23 (Mutation error)
15,CC1=CC2=C(C)C12 (Mutation error)
15,CC1=CC2=C1CC2 (Mutation error)
15,C1=C2CC3CC1=C23 (Mutation error)
